"Batter_Name","line_bin","length_bin","Balls","Runs","SR"
"Aman Hakim Khan","leg","bouncer",2,3,150
"Aniket Verma","off","yorker",8,11,137.5
"Aniket Verma","line","yorker",5,4,80
"Aniket Verma","leg","yorker",5,14,280
"Aniket Verma","off","full",9,6,66.67
"Aniket Verma","line","full",10,23,230
"Aniket Verma","leg","full",4,3,75
"Aniket Verma","off","length",11,9,81.82
"Aniket Verma","line","length",23,41,178.26
"Aniket Verma","leg","length",9,14,155.56
"Aniket Verma","off","back of length",15,30,200
"Aniket Verma","line","back of length",14,31,221.43
"Aniket Verma","leg","back of length",6,13,216.67
"Aniket Verma","off","short",9,17,188.89
"Aniket Verma","line","short",3,2,66.67
"Aniket Verma","leg","short",2,2,100
"Aniket Verma","off","bouncer",2,6,300
"Aniket Verma","line","bouncer",3,2,66.67
"Aniket Verma","leg","bouncer",4,8,200
"Anmolpreet Singh","off","yorker",4,6,150
"Anmolpreet Singh","line","yorker",6,10,166.67
"Anmolpreet Singh","off","full",9,8,88.89
"Anmolpreet Singh","line","full",4,8,200
"Anmolpreet Singh","leg","full",3,3,100
"Anmolpreet Singh","off","length",8,10,125
"Anmolpreet Singh","line","length",11,13,118.18
"Anmolpreet Singh","leg","length",6,4,66.67
"Anmolpreet Singh","off","back of length",9,7,77.78
"Anmolpreet Singh","line","back of length",10,14,140
"Anmolpreet Singh","leg","back of length",4,2,50
"Anmolpreet Singh","off","short",8,17,212.5
"Anmolpreet Singh","line","short",9,12,133.33
"Anmolpreet Singh","leg","short",1,1,100
"Anmolpreet Singh","off","bouncer",3,2,66.67
"Anmolpreet Singh","line","bouncer",4,6,150
"Anmolpreet Singh","leg","bouncer",2,0,0
"Anuj Rawat","off","yorker",11,12,109.09
"Anuj Rawat","line","yorker",14,15,107.14
"Anuj Rawat","leg","yorker",7,5,71.43
"Anuj Rawat","off","full",19,11,57.89
"Anuj Rawat","line","full",13,21,161.54
"Anuj Rawat","leg","full",5,9,180
"Anuj Rawat","off","length",29,33,113.79
"Anuj Rawat","line","length",43,56,130.23
"Anuj Rawat","leg","length",7,7,100
"Anuj Rawat","off","back of length",34,36,105.88
"Anuj Rawat","line","back of length",26,34,130.77
"Anuj Rawat","leg","back of length",12,6,50
"Anuj Rawat","off","short",14,15,107.14
"Anuj Rawat","line","short",12,23,191.67
"Anuj Rawat","leg","short",5,9,180
"Anuj Rawat","off","bouncer",5,10,200
"Anuj Rawat","line","bouncer",6,6,100
"Anuj Rawat","leg","bouncer",6,10,166.67
"Arjun Tendulkar","line","yorker",1,1,100
"Arjun Tendulkar","off","full",1,1,100
"Arjun Tendulkar","line","full",1,2,200
"Arjun Tendulkar","leg","full",1,1,100
"Arjun Tendulkar","leg","length",1,0,0
"Arjun Tendulkar","off","back of length",1,0,0
"Arjun Tendulkar","leg","back of length",1,6,600
"Arjun Tendulkar","off","short",1,1,100
"Arjun Tendulkar","off","bouncer",1,1,100
"Arshad Khan","off","yorker",3,5,166.67
"Arshad Khan","line","yorker",3,2,66.67
"Arshad Khan","off","full",6,4,66.67
"Arshad Khan","line","full",6,18,300
"Arshad Khan","leg","full",1,6,600
"Arshad Khan","off","length",11,8,72.73
"Arshad Khan","line","length",10,15,150
"Arshad Khan","leg","length",1,0,0
"Arshad Khan","off","back of length",7,6,85.71
"Arshad Khan","line","back of length",12,16,133.33
"Arshad Khan","leg","back of length",6,4,66.67
"Arshad Khan","off","short",8,16,200
"Arshad Khan","line","short",3,10,333.33
"Arshad Khan","leg","short",2,1,50
"Arshad Khan","line","bouncer",4,7,175
"Arshad Khan","leg","bouncer",1,1,100
"Arshad Khan (2)","line","yorker",1,1,100
"Arshad Khan (2)","leg","length",1,0,0
"Arshad Khan (2)","off","back of length",1,0,0
"Arshad Khan (2)","leg","back of length",1,4,400
"Arshdeep Singh","off","yorker",2,0,0
"Arshdeep Singh","line","yorker",4,4,100
"Arshdeep Singh","off","full",2,0,0
"Arshdeep Singh","line","full",4,4,100
"Arshdeep Singh","leg","full",1,0,0
"Arshdeep Singh","off","length",6,4,66.67
"Arshdeep Singh","line","length",4,5,125
"Arshdeep Singh","leg","length",2,1,50
"Arshdeep Singh","off","back of length",6,8,133.33
"Arshdeep Singh","line","back of length",3,0,0
"Arshdeep Singh","leg","back of length",2,3,150
"Arshdeep Singh","off","short",1,0,0
"Arshdeep Singh","line","short",3,0,0
"Arshdeep Singh","off","bouncer",1,0,0
"Ashutosh Sharma","off","yorker",18,32,177.78
"Ashutosh Sharma","line","yorker",10,8,80
"Ashutosh Sharma","leg","yorker",5,13,260
"Ashutosh Sharma","off","full",19,23,121.05
"Ashutosh Sharma","line","full",12,21,175
"Ashutosh Sharma","leg","full",2,0,0
"Ashutosh Sharma","off","length",23,33,143.48
"Ashutosh Sharma","line","length",32,59,184.38
"Ashutosh Sharma","leg","length",12,14,116.67
"Ashutosh Sharma","off","back of length",24,40,166.67
"Ashutosh Sharma","line","back of length",26,41,157.69
"Ashutosh Sharma","leg","back of length",11,26,236.36
"Ashutosh Sharma","off","short",11,23,209.09
"Ashutosh Sharma","line","short",14,21,150
"Ashutosh Sharma","leg","short",8,12,150
"Ashutosh Sharma","off","bouncer",6,9,150
"Ashutosh Sharma","line","bouncer",5,12,240
"Ashutosh Sharma","leg","bouncer",2,6,300
"Atharva Taide","off","yorker",10,21,210
"Atharva Taide","line","yorker",11,9,81.82
"Atharva Taide","leg","yorker",1,1,100
"Atharva Taide","off","full",11,15,136.36
"Atharva Taide","line","full",20,30,150
"Atharva Taide","leg","full",2,10,500
"Atharva Taide","off","length",26,38,146.15
"Atharva Taide","line","length",12,16,133.33
"Atharva Taide","leg","length",5,3,60
"Atharva Taide","off","back of length",13,25,192.31
"Atharva Taide","line","back of length",18,18,100
"Atharva Taide","leg","back of length",6,2,33.33
"Atharva Taide","off","short",10,16,160
"Atharva Taide","line","short",11,14,127.27
"Atharva Taide","leg","short",7,19,271.43
"Atharva Taide","off","bouncer",4,5,125
"Atharva Taide","line","bouncer",9,14,155.56
"Atharva Taide","leg","bouncer",2,4,200
"Avesh Khan","off","yorker",2,3,150
"Avesh Khan","line","yorker",2,6,300
"Avesh Khan","off","full",3,1,33.33
"Avesh Khan","line","full",2,6,300
"Avesh Khan","leg","full",1,1,100
"Avesh Khan","off","length",3,6,200
"Avesh Khan","line","length",4,4,100
"Avesh Khan","off","back of length",2,7,350
"Avesh Khan","line","back of length",6,7,116.67
"Avesh Khan","leg","back of length",1,4,400
"Avesh Khan","off","short",2,2,100
"Avesh Khan","line","short",2,1,50
"Avesh Khan","leg","short",1,1,100
"Avesh Khan","line","bouncer",1,4,400
"Azmatullah Omarzai","off","yorker",2,0,0
"Azmatullah Omarzai","line","yorker",3,1,33.33
"Azmatullah Omarzai","off","full",2,3,150
"Azmatullah Omarzai","line","full",5,1,20
"Azmatullah Omarzai","leg","full",1,4,400
"Azmatullah Omarzai","off","length",9,11,122.22
"Azmatullah Omarzai","line","length",12,28,233.33
"Azmatullah Omarzai","leg","length",4,7,175
"Azmatullah Omarzai","off","back of length",10,15,150
"Azmatullah Omarzai","line","back of length",10,20,200
"Azmatullah Omarzai","leg","back of length",1,1,100
"Azmatullah Omarzai","off","short",4,2,50
"Azmatullah Omarzai","line","short",3,1,33.33
"Azmatullah Omarzai","leg","short",3,3,100
"Azmatullah Omarzai","off","bouncer",2,1,50
"Azmatullah Omarzai","line","bouncer",2,0,0
"Azmatullah Omarzai","leg","bouncer",1,1,100
"Baba Indrajith","off","yorker",1,0,0
"Baba Indrajith","line","yorker",3,1,33.33
"Baba Indrajith","leg","yorker",1,2,200
"Baba Indrajith","off","full",1,4,400
"Baba Indrajith","line","full",3,4,133.33
"Baba Indrajith","leg","full",1,1,100
"Baba Indrajith","off","length",5,3,60
"Baba Indrajith","line","length",6,3,50
"Baba Indrajith","leg","length",2,1,50
"Baba Indrajith","off","back of length",1,0,0
"Baba Indrajith","line","back of length",3,1,33.33
"Baba Indrajith","line","short",1,1,100
"Baba Indrajith","off","bouncer",1,0,0
"Baba Indrajith","line","bouncer",1,0,0
"Bhuvneshwar Kumar","off","yorker",8,7,87.5
"Bhuvneshwar Kumar","line","yorker",4,6,150
"Bhuvneshwar Kumar","leg","yorker",6,5,83.33
"Bhuvneshwar Kumar","off","full",6,3,50
"Bhuvneshwar Kumar","line","full",8,11,137.5
"Bhuvneshwar Kumar","leg","full",6,4,66.67
"Bhuvneshwar Kumar","off","length",13,9,69.23
"Bhuvneshwar Kumar","line","length",21,18,85.71
"Bhuvneshwar Kumar","leg","length",3,6,200
"Bhuvneshwar Kumar","off","back of length",15,9,60
"Bhuvneshwar Kumar","line","back of length",8,2,25
"Bhuvneshwar Kumar","leg","back of length",4,3,75
"Bhuvneshwar Kumar","off","short",7,11,157.14
"Bhuvneshwar Kumar","line","short",9,8,88.89
"Bhuvneshwar Kumar","leg","short",1,1,100
"Bhuvneshwar Kumar","off","bouncer",4,0,0
"Bhuvneshwar Kumar","line","bouncer",2,0,0
"Bhuvneshwar Kumar","leg","bouncer",2,0,0
"Sai Sudharsan","off","yorker",62,102,164.52
"Sai Sudharsan","line","yorker",45,66,146.67
"Sai Sudharsan","leg","yorker",28,30,107.14
"Sai Sudharsan","off","full",94,124,131.91
"Sai Sudharsan","line","full",69,100,144.93
"Sai Sudharsan","leg","full",37,61,164.86
"Sai Sudharsan","off","length",130,204,156.92
"Sai Sudharsan","line","length",157,190,121.02
"Sai Sudharsan","leg","length",49,77,157.14
"Sai Sudharsan","off","back of length",151,213,141.06
"Sai Sudharsan","line","back of length",120,194,161.67
"Sai Sudharsan","leg","back of length",48,67,139.58
"Sai Sudharsan","off","short",63,103,163.49
"Sai Sudharsan","line","short",75,100,133.33
"Sai Sudharsan","leg","short",36,57,158.33
"Sai Sudharsan","off","bouncer",32,42,131.25
"Sai Sudharsan","line","bouncer",24,34,141.67
"Sai Sudharsan","leg","bouncer",16,29,181.25
"Ben Stokes","off","yorker",1,1,100
"Ben Stokes","off","full",4,3,75
"Ben Stokes","line","full",1,0,0
"Ben Stokes","off","length",3,0,0
"Ben Stokes","leg","length",1,1,100
"Ben Stokes","line","back of length",1,1,100
"Ben Stokes","leg","back of length",2,8,400
"Ben Stokes","line","short",1,1,100
"Kusal Mendis","off","full",1,0,0
