"Batter_Name","where_caught","count_of_where_caught"
"Mayank Agarwal","deep mid-wicket",2
"Mayank Agarwal","point",2
"Mayank Agarwal","slip",2
"Mayank Agarwal","square leg",2
"Mayank Agarwal","cover",1
"Mayank Agarwal","deep cover",1
"Mayank Agarwal","deep fine leg",1
"Mayank Agarwal","deep square leg",1
"Mayank Agarwal","long-on",1
"Mayank Agarwal","mid-off",1
"Mayank Agarwal","mid-on",1
"Mayank Agarwal","third man",1
"Mayank Agarwal","wicket-keeper",1
"Mitchell Starc","mid-on",2
"Mitchell Starc","third man",1
"Dasun Shanaka","deep fine leg",1
"Dasun Shanaka","gully",1
"Michael Bracewell","mid-off",1
"Michael Bracewell","short mid-on",1
"Mitchell Owen","mid-wicket",1
"Mitchell Santner","deep mid-wicket",2
"Mitchell Santner","deep cover",1
"Mitchell Santner","mid-on",1
"MJ Suthar","fine leg",1
"Mahipal Lomror","slip",2
"Mahipal Lomror","cover",1
"Mahipal Lomror","deep fine leg",1
"Mahipal Lomror","deep mid-wicket",1
"Mahipal Lomror","deep square leg",1
"Mahipal Lomror","fine leg",1
"Mahipal Lomror","gully",1
"Mahipal Lomror","long-off",1
"Mahipal Lomror","long-on",1
"Mahipal Lomror","mid-off",1
"Mahipal Lomror","mid-on",1
"Mahipal Lomror","short mid-off",1
"Mahipal Lomror","third man",1
"Mahipal Lomror","wicket-keeper",1
"Manish Pandey","square leg",3
"Manish Pandey","deep mid-wicket",2
"Manish Pandey","cover",1
"Manish Pandey","deep cover",1
"Manish Pandey","mid-wicket",1
"Manish Pandey","third man",1
"Moeen Ali","deep cover",3
"Moeen Ali","deep square leg",2
"Moeen Ali","point",2
"Moeen Ali","cover",1
"Moeen Ali","deep fine leg",1
"Moeen Ali","fine leg",1
"Moeen Ali","gully",1
"Moeen Ali","long-off",1
"Moeen Ali","long-on",1
"Moeen Ali","mid-on",1
"Moeen Ali","mid-wicket",1
"Mohit Sharma","deep fine leg",1
"Marcus Stoinis","square leg",7
"Marcus Stoinis","point",4
"Marcus Stoinis","deep cover",3
"Marcus Stoinis","deep square leg",3
"Marcus Stoinis","long-on",2
"Marcus Stoinis","non-striker's end",2
"Marcus Stoinis","third man",2
"Marcus Stoinis","deep fine leg",1
"Marcus Stoinis","gully",1
"Marcus Stoinis","mid-off",1
"Marcus Stoinis","mid-wicket",1
"Marcus Stoinis","wicket-keeper",1
"Mitchell Marsh","point",3
"Mitchell Marsh","slip",3
"Mitchell Marsh","cover",2
"Mitchell Marsh","deep mid-wicket",2
"Mitchell Marsh","fine leg",2
"Mitchell Marsh","long-on",2
"Mitchell Marsh","square leg",2
"Mitchell Marsh","deep cover",1
"Mitchell Marsh","deep square leg",1
"Mitchell Marsh","gully",1
"Mitchell Marsh","long-off",1
"Mitchell Marsh","mid-off",1
"Mitchell Marsh","mid-wicket",1
"Mitchell Marsh","non-striker's end",1
"Mitchell Marsh","short mid-off",1
"Mahendra Singh Dhoni","deep square leg",2
"Mahendra Singh Dhoni","gully",2
"Mahendra Singh Dhoni","mid-on",2
"Mahendra Singh Dhoni","square leg",2
"Mahendra Singh Dhoni","cover",1
"Mahendra Singh Dhoni","deep cover",1
"Mahendra Singh Dhoni","deep mid-wicket",1
"Mahendra Singh Dhoni","fine leg",1
"Mahendra Singh Dhoni","long-off",1
"Mahendra Singh Dhoni","long-on",1
"Mahendra Singh Dhoni","mid-off",1
"Mahendra Singh Dhoni","mid-wicket",1
"Mahendra Singh Dhoni","third man",1
"Mahendra Singh Dhoni","wicket-keeper",1
"Matthew Wade","cover",2
"Matthew Wade","deep fine leg",1
"Matthew Wade","deep mid-wicket",1
"Matthew Wade","mid-off",1
"Matthew Wade","third man",1
"Matt Short","mid-on",1
"Matt Short","square leg",1
"Mandeep Singh","gully",1
"Mandeep Singh","long-off",1
"Mandeep Singh","mid-wicket",1
"Mandeep Singh","slip",1
"Mohammad Nabi","cover",1
"Mohammad Nabi","non-striker's end",1
"Mohammed Shami","deep fine leg",1
"Mohammed Shami","gully",1
"Mohammed Shami","wicket-keeper",1
"Mohammed Siraj","deep square leg",1
"Mohammed Siraj","long-off",1
"Mohammed Siraj","mid-off",1
"Mohammed Siraj","mid-on",1
"Mohsin Khan","deep fine leg",1
"Mukesh Kumar","deep mid-wicket",1
"Narayan Jagadeesan","deep fine leg",1
"Narayan Jagadeesan","deep mid-wicket",1
"Narayan Jagadeesan","deep square leg",1
"Narayan Jagadeesan","fine leg",1
"Narayan Jagadeesan","mid-wicket",1
"Narayan Jagadeesan","slip",1
"Nicholas Pooran","deep cover",3
"Nicholas Pooran","deep mid-wicket",3
"Nicholas Pooran","mid-on",3
"Nicholas Pooran","cover",2
"Nicholas Pooran","fine leg",2
"Nicholas Pooran","long-off",2
"Nicholas Pooran","point",2
"Nicholas Pooran","square leg",2
"Nicholas Pooran","deep fine leg",1
"Nicholas Pooran","deep square leg",1
"Nicholas Pooran","gully",1
