"","player_name","team","games_played_window","avg_points_q1_per_game","avg_points_q2_per_game","avg_points_q3_per_game","avg_points_q4_per_game","avg_points_first_half_per_game","avg_points_second_half_per_game","points_per_game_last5","rebounds_per_game_last5","assists_per_game_last5","threes_made_per_game_last5","points_per_game_last10","rebounds_per_game_last10","assists_per_game_last10","threes_made_per_game_last10","points_per_game_last15","rebounds_per_game_last15","assists_per_game_last15","threes_made_per_game_last15"
"478","Justin Robinson","Pistons",15,0.93,0.87,1.4,2,1.8,3.4,5.6,1.4,1.8,1.6,3.33,0.8,1.22,0.89,2.69,0.6,1.38,0.69
"479","Justise Winslow","Raptors",66,1.8,1.7,1.74,1.86,3.5,3.61,5.5,1.6,2,0.5,4.43,2.5,2.29,0.43,6,4.07,2.83,0.5
"480","Jusuf Nurkic","Hornets",226,3.56,3.18,3.14,2.21,6.74,5.35,11.75,5,2.75,1.5,9.33,4.2,1.33,0.78,8.85,5.07,1.69,0.62
"481","Juwan Morgan","Celtics",2,1.5,1,0,0.5,2.5,0.5,0,0.2,0,0,0,0.1,0,0,0.11,0.2,0,0
"482","KJ Martin","Jazz",234,2.12,2.34,2.21,2.66,4.47,4.86,4,0.6,2.5,0,4.57,2.1,1.57,0.29,6.5,2.6,1.5,0.42
"483","KJ Simpson","Hornets",24,3.42,1.79,1.46,2.08,5.21,3.54,11.4,3.6,4.8,1.6,11.9,4,4.2,1.6,10.6,3.93,3.93,1.2
"484","KZ Okpala","Kings",24,1.12,1.21,0.88,1.92,2.33,2.79,0.5,0,0,0,0.14,0.2,0,0,0.82,0.33,0.27,0.18
"485","Kai Jones","Mavericks",66,0.89,0.82,0.76,2.2,1.71,2.95,13.6,7.6,1.4,0,10,4,1,0,7.8,2.87,0.7,0
"486","Karl-Anthony Towns","Knicks",282,6.21,5.6,6.18,4.61,11.81,10.8,22.8,12.2,1.8,1.4,23.3,11.9,1.3,1.4,21.47,12.27,1.2,1.4
"487","Karlo Matkovic","Pelicans",28,1.5,2.36,1.79,2.79,3.86,4.57,10.25,2.2,1.5,0.25,10.67,5,1,0.44,9,5.13,1.29,0.29
